,content_cut
21686,我 很重 好友 ， 带 你 上 段 ！
21687,曾经 走 了 ， 留下 了 我 这 孤独 的 球宝
21688,
21689,我 已经 玩 了 球球 三年 了 ， 退游 了 一年 长时间 了 ， 今天 登录 都 已经 10.0 版本 了 ， 期望 球球 以后 会 有 更 多 人 玩吧 ， 期望 各种 光环 孢子 物品 ， 永远 爱球球 笔芯
21691,玩 这个 游戏 挺久 的 了 希望 真的 能 越做越 好 真的 可以 做到 ‘ 球球 不 倒 ， 陪你到 老 ’ @ 欲 吞
21692,找 我 玩 找 我 玩 找 我 玩 找 我 玩 找 我 玩 找 我 玩 找 我 玩
21693,依稀 记 的 会 炸 刺 发育 的 喜悦 ， 因为 没 队友 所以 打 生存 ， 球球 不 倒 ， 陪你到 老 也 曾 说 过 ， 不过 我 好像 食言 了 。
21694,双冠 模式 队友 死后 结算 不了 怎么 点 都 出不去 只能 退出 游戏 。
21695,小时候 刚 接触 球球 ， 我 的 心 仿佛 快要 被 这 欢乐 的 球球 世界 融化 了 … 一有 时间 ， 我 就 会 迫不及待 的 打开 球球 ， 幼嫩 的 手指 在 屏幕 上 挥舞 。 在 球球 中 ， 我 体会 到 了 什么 是 团结 、 什么 是 努力 … 三年 多 了 ， 你 到底 给 了 我 多少 欢乐 一一 追着 小球 到处跑 还是 被 大球 追 的 到处 逃 ？ 我 love 球球 ， 你 是否 也 love 着 我 ？ 球球 不 倒 ， 陪你到 老 ！ 致敬 ！ ！ ！
21696,谁 能 让 我 喜欢 一分钟 ！ ！
21697,嘻嘻 ， 喜欢 玩 逃杀 的 球宝们 ， 加 我 处 对友 哟 。
21698,关注 哟 ， 我 专带 躺 团 ， 关注 触手 第一 时间 看 精彩 比赛
21699,找 队友 ， 看上 d
21700,每次 都 是 自己 一个 人 打 可以 来 一点 小伙伴 吗
21701,现在 没有 宇宙 币 可以 买 炮子 了 吗
21702,玩球 球有 一年 了 吧 ， 感觉 这个 球球 更新 了 没 以前 好
21703,收 女徒 可以 教 你 如何 东西
21704,新 的 版本 ， 棒棒 哒
21705,我 也 是 玩 了 40 个 赛季 的 老 玩家 了 ， ， 就是 没有 抹 茶 果冻 ， ， 谁 可以 借 我 啊 ， 如果 那 哪个 大佬 愿 的 的话 ， QQ3204556855 ， ， 谢谢 啦
21706,这样 练成 好 的 ? 心态 呢 ！ 哎 ！
21707,
21708,你们 玩球 球卡 不卡 ？ 最近 玩球 球 感觉 分身 特别 慢 ， 有 延迟 球 特别 重 一样 。 玩 的 一点 都 不 灵活 ， 特别 笨重 感觉 。
21709,每月 初 就 能 荣耀 超神 真好 ！
21710,有 比 我 这个 牛 的 吗 ， 需要 改进
21711,浩哥 回来 吧 ！ 我 非常 喜欢 看 你 的 直播 ！ 回来 吧
21712,暖心 留言 怎么 说 要 不要 给 我 来 几条
21713,寻宝 去 哪 了 ？ 怎么 找 不到 了
21714,你们 最近 今天 获得 了 奇妙 宝箱 和 钛 金 宝箱 吗 ？
21715,我 从 七年级 开始 玩 这个 游戏 ， 后来 由于 某种原因 让 我 产生 厌倦 。 但 听说 球球 整改 后 ， 我 立即 下 了 一个 ， 希望 球球 能 一直 陪 着 我们 。
21716,不管 你 看见 没 看见 ， 反正 记住 一件 事 ， 球球 不 倒 陪你到 老 向 巨人 公司 所有 员工 所有 老 玩家 致敬 !
21717,找 一个 长期 的 固 搭 ， 喜欢 安静
21718,
21719,❤ ️
21720,今天 也 要 开心 鸭
21721,为什么 最近 游戏 这么 卡 ？ 是 我 的 网络 原因 ， 还是 手机 还是 游戏 版本 的 原因 ？ 最 讨厌 玩 着 玩 着 突然 飞 了 ， 谁 告诉 我 怎么 不卡 ？
21722,ID 线登 ， 要 打 的 加 我 ， 哈哈
21724,又 是 新 的 一年 ， 在 这里 祝球球 大 作战 越来越 红火 ?
21725,盘 他
21726,2019 球球 不 倒 ， 培 你 到 老 。
21727,对象 走心 ＋ ， 限女 ， 安稳 陪伴 ， 占有欲 较强 的 ， 18 以下 加
21728,刚 开始 玩游戏 时 ， 我 是 一名 小学生 。 每玩 一把 ， 都 是 坑 一把 ， 直到 遇见 一个 从 开始 到 现在 都 陪伴 我 的 球友 ， 也 是从 那刻 我 的 技术水平 逐渐 提高 ， 我 现在 会 中 吐 ， 四分 中吐 ， 母体 ， 侧胀 ， 瞬移 ， 双刷 … … 可能 是 陪我玩 游戏 的 时间 太久 了 ， 那位 球友 退游 了 。 最后 我 想 说 ： ‘ 球球 不 倒 ， 陪你到 老 。 ’
21729,2019 是 球球 变化 的 起点 ， 从 双冠 到 画廊 ， 氪 金 情况 减少 ， 2019 ， 你 的 保证 ， 是 改变 2018 犯下 的 错误 ， 好友 们 都 回归 了 ， 你 真的 改变 了 ， 愿球球 越来越 好 ， 球宝们 越来越 快乐 。 ?
21730,2019 长长 久久
21731,* 期 2019
21732,看 我 名字 ， 哈哈 ?
21733,这里 有 4 个 2019 ， 其实 我 想 说 我 要 奖励
21734,
21736,2019 一起 玩 呐 我 的 ID 南巷 独秀 球球 不 倒 ， 陪你到 老
21737,2019 年 祝愿 大家 学习 进步 ， 事业 顺利 ， 身体健康 ， 幸福快乐 ， 让 我们 一起 加油 吧 * ٩ ๑ ´ ∀ ` ๑ ง *
21738,小学生 真 6
21739,2019 的 希望
21740,是 找到 2019 的 截屏 越 多 奖励 越多 吗
21741,球球 不 倒 ， 陪你到 老 ， 请 老 玩家 回游
21742,老 玩家 一个
21743,求 好友 ， 一起 玩 ！ 不骄不躁 ！
21744,学渣 一枚 ， 成绩 变 好 。 望球 球变 的 更好
21745,球球 陪 了 我 3 年 了 ， 给 我 留下 了 许多 回忆 技术 越来越 好 ， 球球里 的 内容 越来越 精彩 我 希望 2019 和 5 亿多 球宝 一起 跨年 球球 不 倒 ， 陪你到 老
21746,作为 一个 只会 打 人机 的 球球 玩家 ， 我 要求 把 人机 难度 调 高点 ！
21747,现成 的 2019 。 我 就 看 海量 金 蘑菇 能 有 多少 ！
21748,新年快乐 ！ 希望 球球 大 作战 越来越 好 ！ ！ ！ ！
21749,2019 祝你们 皮肤 越来越 多 ， 大家 2019n . b
21750,
21751,想 找个 合得来 的 手速 队友 ， 有点 难 ~
21752,球球 不 倒 ， 陪你到 老 。
21753,t 图片 发 不了 不 知道 为什么
21754,
21755,球球 这个 东西 像 极了 爱情
21756,天降 个 神 队友 可好 ？ yle = color : rgb81 80 70 ; > 本 以为 进入 了 妹妹 的 心房 ， 谁 知道 掉 进 了 鱼塘 & nbsp ; ， 妹妹 是 个 海王 。 可以 的 互关
21757,没 好友 ， 想 找 朋友 关注 我 。
21758,球球 我 愿 陪你到 老 。 我会 永远 在 你 背后 支持 鼓励 你 。 永远 爱 你 的 球宝
21759,老 玩家 的 ， 来来来 ， 找 队友 。 。 。 。 。 。 ？ 不吭
21760,谁 哪里 有球球 必过 的 男头 ， 可以 给 我 几个 么 ， 蟹 蟹
21761,冒死 截下 吞 2019 时 的 ， 希望 大家 在 2019 蒸蒸 * 上 ， 更上一层楼 ！
21762,双逃 队友 加 ， 晚上 十二点 到 两点 ， 固搭加 88882646
21763,照片 里 的 2019 点赞
21764,想 找 一个 会 玩 的 队友 不 嫌弃 小学生 会 花式 段位 无所谓 我 叫 虎牙 搜索 爱轩
21765,2019 暴富
21766,双冠 队友 我 很 菜 心态 好 的 来
21767,lD : 言辞 k ， 我 是 一个 老 玩家 ， 己 玩 3 年 ﻿ @ 关于 亚 男 i
21768,为什么 我充 了 月 卡 还 没到 账
21769,这个 算 吗 ？
21770,这个 魔灵 背景 有 什么 用 为什么 都 没有 变 。
21772,记录 一下 开 宝箱 开到 的
21773,什么 情况 ， 明明 是 941 个 棒棒糖 ， 买 了 就 变成 941 个金 蘑菇 ， 这 游戏 越来越 圈钱 了 ！ 此处 省略 三个 字 ...
21774,5 年 了 … … 我 又 回来 了
21775,怎 回事 ， 一直 进不去 游戏 里面 ， 然后 就 卡到 主页 ？ ？ 求 大神 解答 ！ ！ ！
21776,坐等 3 年 ， 只为 换 你 一个 回关
21777,找个 固 搭 队友 小孩子 就 别来 了 。
21778,加油
21779,找开 黑 的 球友 ， 本人 技术 不好 Ծ ^ Ծ 皮肤 控 一个 ， 求 一些 技术 的 好友
21780,伸媚 : 求多 关注 没什么 可说 的 了 还是 那句话 多 关注 。
21781,本人 也 玩 二年 球球 了 ， 技术 还 行 ， 希望 你们 能 关注 一下 我 ， 以后 跟 我 一起 玩 。
21783,六六六
21784,升段 老 努力 ， 结算 又 归零 。 随手 一 花式 ， 名次 瞬间 坠 。 心中 老 不爽 ， 队友 破口 骂 。 技术 憎憎长 ， 成绩 咚咚 悼 。
21785,希望 有 真的 很多 金 蘑菇 。
21786,找 队友 ， 上 超神 ， 一起 的 来
21788,很 坑 很 坑 相当 坑 ！ ！ ！
21789,想信 你们 体会 不到 我 有 多 绝望 。
21790,固搭 呀呀 呀
21791,才 知道 有 委托 寄卖 这个 东西 。 嘿嘿嘿
21792,想要 互刷 礼物 的 私 我 吧 ， 球球 号 ： 313130 ， 诚信 互刷
21793,老弟 上学 去 了 玩 着 好 没意思 - - - 三年 老 玩家
21794,我 想 问 一下 收藏家 之路 的 宝箱 ， 就是 通过 比赛 勋章 可以 开启 的 宝箱 ， 开启 后 得到 的 关键词 碎片 在 哪里 合成 ！ ！ 谢谢 ? ！ ！ ！ ！
21796,樱桃 蛋糕 怎么 得 ？ 得到 告诉 我 一下 谢谢 。
21797,我 都 不敢相信 我们 有 500 多顿 第一 的 时候 是 700 多顿
21799,现在 玩球 球 的 人 ， 素质 真差 ， 我 免费 找人 送 99 礼物 ， 都 没有 人要 。 唉 ！
21800,
21801,想要 黄金 车 ， 可惜 一看 红包 空空如也 ?
21802,关注 下 呗
21803,自从 今年 出 了 双冠 模式 ， 段位 好 上 了 ， 但 挂机 的 人 变多 了 ， 打 双冠 模式 最怕 的 就是 挂机 队友 了 ， 哎 ， 希望 那些 挂机 的 人少 一点 ！
21805,我 是 隔壁 的 人 虽然 我 不会 玩 但是 也 不太坑
21806,征求 大佬 送 100 非 赠送 金 蘑菇 ， 好人 一生 平安 。
21807,远古 雪山 任务 高原 反应 ， 好难 做 呀 。 开都开 不 出来 。
21808,这是 什么 鬼 ， 觉得 是 bug ， 只有 我能 看到 ， 跟 队友 说 他们 都 说 没有 ， 谁 能 解释一下 。
21809,找 找 队友 啊 ， 我 是 老手 。
21810,我 玩 了 这么久 了 球球 终于 有火 了
21811,Cpdd Qq1304469107 可以 一起 打 惹
21812,其他 小伙伴 抽到 5 折 了 吗 ～
21813,p 睡袋 来 了 睡袋 来 了 ， 终于 可以 完成 任务 了 ～
21814,哈哈哈
21815,你 有 在 球球里 遇到 很 好 的 人 吗
21816,喜欢 球球 就 这 一句
21817,找固 搭 可连麦 评分 4000 以上 的 ＋ 3501814320
21818,我 的 段位 就 没有 一天 正常 过 。
21819,四年 的 相伴 ， 认识 了 好多 好 朋友 ， 有 的 至今 还 联系 成为 现实 的 好 朋友 ， 有 的 联系 联系 着 就 散 了 ， 或许 你 又 成为 了 别人 的 好 朋友 ， 一路 走来 ， 走走 散散 ， 一路 的 心酸 ， 谢谢 有 你 陪伴 ， 有 你 真 好 ， 球球 不 倒 ， 陪你到 老 ！ 因为 喜欢 所以 爱 ， 自己 做 的 呦 ， 一起 玩耍 的 关注 ID1314521 元宵节 快乐 ○ ლ ´ ڡ ` ლ 元宵
21820,新 皮肤 到手 话 说 这 皮肤 看着 感觉 有点 痒 啊 小伙伴 你们 觉得 呢
21821,求条 暖心 留言 啊 小 哥哥 小姐姐 。 蟹 蟹 。
21822,有没有 和 我 一样 觉得 这样 搭配 巧 好看 的 球宝
21823,我 的 球球 无法 充值 ， 在线 求解
21824,登山绳 获得 几率 小 吗 ？ 一直 在 一层 营地 徘徊 ， 什么 时候 是 个头 啊 ?
21825,退游 了
21826,本来 差 40 个 帐篷 ， 开 了 18 个 超大 ， 12 个 艺术 珍宝 箱 ， 还有 其他 箱子 ， 都 没 开够 帐篷 ， 真是 蓝瘦 ， 氧气瓶 出 的 几率比 帐篷 高 ， 我 也 是 服
21827,卖 了 卖 了 重新 再 砸 菲 露露 也 就 1W 多 棒棒糖 就杂 出来 了
21828,这个 孢子 特效 还 挺 好看 的 呢
21829,找个 师傅 。 带 我 打球 球 。 我 技术 不是 很 好 。 希望 不要 * 。
21830,谁 带 我 把 测涨 刷 到 A 下面 的 礼物 就 都 是 他 的 啦 绝对 诚信 童叟无欺 哦 带 的 ＋ 球球 号 33033038
21831,唔 ， 越 看 越 好看 。 心动 要 不要 行动 下 ～
21832,球球 大 作战 过 了 2 小时 为 啥 我 还 能 玩
21833,我 从前 是 个 青铜 手手速 不快 玩球 球 这款 游戏 愈来愈好 感觉 自己 手速 在 变快 ， 各位 球宝快 上学 了 ， 请 在 是 球球 的 视频 上 都 给 点个 赞 吧 ！ 让 我们 荡起 双桨 一起 玩 下去 球球 这款 游戏 。 大家 不要 放弃 ， 加油 ＾ ０ ＾ ~
21834,打团 溜 的 加 我 id : 499390 看 技术 ， 稳中 带浪 ， 浪中 又 稳 。
21835,找 队友 心态 贼 好 的 那种
21836,6 折 什么 水平 ， 有没有 幸运儿 抽到 一折 呀
21837,三年 老 玩家 的 加个 关注 呗 ！ （ 这 是 新 号 ）
21838,什么 时候 我 才能 这么 富有 啊
21839,
21841,就 少 一个 了 ， 开 了 几十个 宝箱 都 没 开到 ， * 方 大大 ， 看见 的话 请 您 给 我 一个 吧 ， 这里 先说 谢谢 了
21842,▷ 相遇 总有 原因 不是 恩赐 就是 教训
21843,厉害 啊 ?
21848,沙雕 + 主动 ！ ！ ！ 小涵 鞠躬 了 ！
21849,什么 时候 才能 凑齐 ...
21850,听说 这个 喝 起来 ， 能 爆炸
21851,看看 现在 球球 上 的 人 多 有 素质 ， 更 搞笑 的 是 ， 官方 竟然 不管 ， 告诉 我 把 权限 改 一下 就行 。 那 真是 好笑 ， 还 要么 官方 有 啥 用 ？
21853,
21854,开了个 烧烤店 ， 以后 很少 玩 这个 游戏 了 有 什么 事加 QQ ～
21855,找 固定 队友 ， 有 的 加 我 QQ
21856,什么 鬼 ， 就 不能 出个 单人 的 ， 六张 票 100 分 都 不到
21857,球球 大 作战 球球 是 我们 相遇 的 起点 ， 我们 在 这里 一起 欢笑 ， 一起 哭闹 ！ 那 时候 的 我们 常常 因为 比赛 胜利 而 感到 欢呼雀跃 ， 也 时常 为 获得 新 皮肤 而 感到 骄傲 、 自豪 。 我 在 球球 中 可能 不是 一个 出名 的 人 ， 或许 有 99% 的 人 都 不 知道 我 ， 但是 我 同样 是 波拉 哩球 中 的 一员 ， 是 球球 的 一员 ！ 以前 的 我 没有 朋友 ， 也 不敢 奢望 。 现在 我 在 球球 认识 了 很多 好 朋友 ， 他们 陪 我 一起 哭 ， 一起 笑 ， 我 感到 好开心 。 因为 我 是 个 小孩 ， 所以 也 没 钱 去 买 皮肤 。 我 常常 看到 大神 级 玩家 穿着 炫酷 的 皮肤 ， 也好 想要 。 再 加上 家境 贫穷 ， 只能 默默 的 在 心里 面 想象 。 我 是 一个 波拉 哩 中 不起眼 的 小人物 ， 技术 也 不是 一般 的 差 ， 但是 我 有 一颗 心 ， 我 不怕 输 ！ 我 希望 球球 这个 世界 会 越来越 美好 ， 保留 那 一份 纯真 的 友情 ！ 有 希望 球球 中 的 大神 级 玩家 能够 一直 留在 球球 。 小进 他 几个 月 前 他 退游 了 ， 我 感到 好 伤心 ， 也 感到 不解 。 现在 ， 小进 又 回游 了 ， 我 感到 球球 这 世界 好 精彩 ！ “ 球球 不 倒 ， 陪你到 老 ” 这 是 我 对 球球 的 誓言 ， 同时 我 也 希望 每个 人 都 能 做到 吧 ！ 呵呵
21858,我 的 男朋友 什么 时候 来 找 我
21859,あ な た は 20 代 で 、 好 き な 人 に 出会 っ て い な い の は 普通 で す 。
21860,
21861,球球 我 玩 了 三年 ， 一路 走来 队友 有 的 走 了 ， 有 的 又 来 了 ， 但 我 的 队友 都 陪 我 度过 了 欢乐 时光 ， 周围 的 人 都 王者 吃 * ， 只有 我 还 坚持 既 玩球 球 ， 他们 很 不解 ， 问 我 为什么 还 在 玩 这个 有些 不火 的 游戏 。 我 承认 ， 球球 是 没 以前 那么 火 了 ， 但 在 我 的 心里 ， 球球 不仅仅 只是 一款 游戏 ， 更是 有着 特别 的 意义 。 我 不会 忘记 我 玩球 球 最初 的 快乐 ， 我会 继续 玩 下去 。 对于 我 的 队友 ， 真的 很 感谢 你们 ， 我会 一直 走 下去 ， 球球 不 倒 ， 陪 你 倒 老 ， 爱 你们 呦 ， 能够 陪 着 我 一起 球球 的 队友 和 陌生人 。
21862,长期 队友 ＋ 没 默契 可以 练 ﻿ ﻿ 脾气好
21864,玩 了 那么 久 还是 像 新手 一样 … …
21865,开 箱子 咯
21866,这 是 个 什么 玩意 昂 。 我 就是 来 发表 发表 玩玩
21867,找 队友 啦
21868,谨防 诈骗 ， 切勿 相信 陌生人 。 & nbsp ; 这个 故事 从今 早 开始 过程 太长 了
21870,哥不帅 但 很 坏 … …
21871,开个 关键词 一万五千 金 蘑菇 才 有 百分之七 ， 百分之百 那 岂 不得 二十几万 金 蘑菇
21872,想 她 嘛 … …
21873,才 发现 这里 有个 糖豆 沃 * ! !
21875,静
21876,我想 找个 球球 队友 啊
21877,秀 的 雅批
21878,ラ ッ プ ト ッ プ ・ ラ ッ プ ト ッ プ ・ ラ ッ プ ト ッ プ ・ ラ ッ プ ト ッ プ ・ ラ ッ プ ト ッ プ ・ ラ ッ プ ト ッ プ ・ ラ ッ プ ト ッ プ ・ ラ ッ プ ト ッ プ ・ ク ロ ー ズ ﻿ @ forever 丿 纯白 ﻿ ﻿ @ 岐辞 ﻿ ﻿ @ 骄傲 123456 ﻿ ﻿ @ 小执 阿 ﻿ ﻿ @ 向哥 男神团 ﻿ ﻿ @ 彩虹 太阳
21879,不坑 的 一起 玩 ？
21882,不想 说 某些 爱 挂机 的 菜 * ， 我 自己 一个 人 也 可以 第一
21887,日常 1000 盾 ， 嘻嘻 嘻 ﻿ ﻿ ﻿ @ 吼裙
21888,舔 舔 … … … … … … … …
21890,什么 鬼
21892,好 啦 ， 你 不要 为难 啦 ， 我 走 就是 了 ！
21893,互 礼物 ＋
21894,biubiubiu ~
21895,树 .... 树洞 ？
21896,因为 你 不 爱 我 ， 所以 我 做 什么 都 是 错 的
21897,球球 球球 球球 一 起来 吧 ！
21898,冒个 泡 ， 拜早年 。
21899,球球出 bug 了 吗 ， 为什么 别人 给 我 刷 的 礼物 看不见 呢 。
21900,这是 什么 鬼 东西
21901,让 我们 处一波 队友 可好
21902,一天 的 球球 又 开始 了
21903,不忘 初心 ， 草莓 指环 … …
21904,重新 回归 吧 ， 算不得 回归 ， 大号 没 了 队友 没 了 技术 没 了 ， 希望 球球 还 能 收留 我 哈哈哈哈
21905,处 cp ， 不菜 ， 球球 可以 先 关注 ， 加 q 加 v 都 可以 ， 希望 找 一个 小姐姐
21906,丘儿 最酷 了 ， 哈哈哈 。
21907,哪位 大佬 借 一个 塔坦杯 啊 id5884321 谢谢
21908,现在 的 宇宙 币 哪里 花 ！ ！ ？
21909,球球 玩 了 三年 了 ， 当初 ? 遍 全网 ， 现在 退游 的 老 玩家 跟 多 很多 ， 慢慢 的 就 不火 了 。 当 我 想 放弃 这个 游戏 的 时候 ， 看 了 所谓 赛季 ， 想起 了 每 一个 赛季 的 辛苦 ， 那 开心玩 这 游戏 的 活跃 时 ， 我 真的 放不下 ， 更 舍不得 从球 球里 慢慢 认识 这些 伙伴 ， 所以 我 还是 选择 了 坚持 陪 着 球球 。 球球 不 倒 陪你到 老 ， 2019 新 版本 加油 ?
21910,从 开始 玩 这个 游戏 到 现在 经历 了 许多 也 成长 了 许多 渐渐 发现 赢得 不是 游戏 而是 心态 我 是 魔王 ♥ 魔王 的 魔 魔王 的 王 м w ♥
21911,球球 是 一个 非常 好玩 的 游戏
21912,HGVCC
21914,
21915,我 是 。 我 是 梦泪 他弟 。
21916,我们 都 是 因球球 而 成为 了 朋友 ， 球球 带给 我 更 多 的 友谊 和 快乐 ， 我 爱球球 ! 我 是 6 年级 时 接触 的 球球 那时 的 我 玩球 球 都 是 十分 的 菜 ， 总会 寻找 一些 比 我 厉害 的 大神 渐渐 的 我 也 厉害 起来 ， 后来 我 遇到 了 啊 鸣 （ 游戏 时 这么 叫 他 ) 我们 成为 了 很 好 的 搭档 ， 特别 默契 那时 的 时光 很 开心 ， 后来 我们 有时 还会 带 带 妹子 ， 时间 冲淡 了 很多 ， 现在 他 也 退游 了 ， 我们 间 的 友情 不会 因 他 退游 而 消失 。 我会 继续 打球 球 ， 因为 它 是 这界 故事 开始 作者 虽然 许多 小伙伴 退游 了 ， 但 还是 有 许许多多 小伙伴 陪 我 一起 ， 球球 永不 独行
21917,双刷 模式 在 哪 下半年 倒计时
21918,球宝们 ， 还 记得 这个 界面 吗 ？ 别说 我 技术 不行 ， 只不过 退游 了 几个 月
21919,球球 不 老 ， 陪你到 老 。 盛衰 成败 ， 与你同在 。 初心永哀 ， 方得 始终 ， 喜怒哀乐 ， 欺吾 倾诉 。
21920,向前 跑 迎 着 冷眼 和 嘲笑 ， 沉默 是 我 的 武器 ， 很多 带 着 情绪 玩 的 人 ， 或 刻薄 ， 或 热情 ， 或 冷漠 ， 不必 过多 在意 这些 。 话 说 我 很 喜欢 的 手速 模式 怎么 说 没 就 没 了 。
21921,"看到 这个 MV , 我 更 喜欢 球球 大 作战 了 ！ 虽然 我 玩 了 两年 还是 这么 菜 ， 经常 坑 队友 。 在 这里 对 大家 说 一声 谢谢 ， 谢谢你们 。 那天 晚上 ， 有 一个 队友 说 有事 了 ， 把 所有 的 球 都 给 了 我 ， 那么 大 的 体积 啊 ！ 亲 我 只 想 说 你 是 最帅 的 ！ ！ ！ 而 我 没 一会儿 就 糟蹋 了 你 辛辛苦苦 拿到 的 球 ， 抱歉 ， 我 这 脑子 啊 ！"
21922,这里 浅醉 、 浅小醉 、 浅 醉醉 ♡
21923,更 好吃 的
21925,我 是 一名 学生 党 ， 在 每次 上学 的 时候 就 会 想到 球球 大 作战 ， 我 玩 了 近 4 年 的 游戏 ， 现在 也 想 退游 了 ， 但 我 还是 想 对 球宝们 说 ， 球球 不 倒 ， 陪你到 老
21926,凯旋 买 不了 了 ？ 棒棒糖 什么 都 买 不了 了
21927,运气 啊
21928,@ 潇潇 136 ﻿ 谢谢 你 的 陪伴 ！
21929,玩球 球 好长时间 了 ， 现在 找个 稳定 队友 ， 有意 的 关注
21930,球球变 了 ， 回到 三年 前 了 ， 巅峰 时刻 来 了
21931,一 开始 我 玩 逃杀 ， 他们 太 厉害 了 。 现在 我 一个 分身 都 死 ！
21932,这个 游戏 陪伴 了 我 四年 ， 虽然 现在 玩 的 少 了 ， 但 还是 感谢 球球 让 我 认识 了 很多 人
21933,寻会 玩 的 好友 会 玩 的 加 我 QQ3426545791
21934,玩 到 天昏地暗 以后 睡觉
21935,我 是 不会 让 你 球球 大 作战 失望 的
21936,双冠 队友 在 哪里 ？ ( ╯ · ⚇ · ╰ ) 一 起来 玩 呀 ( ≚ ᄌ ≚ ) ℒ ℴ ѵ ℯ ?
21937,希 希望 球球 真心 地多 去 想 一些 新 模式 ， 新 玩法 ， 再也 别 掏 心想 怎么 赚钱 了 ， ， ， 我 觉得 如果 不 改变 的话 ， 老 玩家 真的 会越 走 越 多 ， ， ， 甚至 没有 资本 说 “ 有 五亿 玩家 ” 了 。
21938,打 逃杀 的 加 ， 会 回关 。
21939,故事 不 多 ， 陪球 到 老 。
21940,玩 的 时候 很早 ， 以前 还有 史诗 的 时候 很难 ， 曾经 火过 我会 一直 陪伴着 球球
21941,来 ， 固定 打团 队友 。 。 。
21942,这个 游戏 ， 除了 不充 钱 照样 很 厉害 ， 但是 想要 不充 钱 照样 皮肤 很 好看 确实 不 可能 的 ， 所以 对于 那些 爱 漂亮 的 玩家 来说 ， 充钱 是 必不可少 的 ， 只是 游戏 充值 后 得到 的 金 蘑菇 跟 任务 得到 的 赠送 金 蘑菇 ， 长得 一模一样 ， 名字 也 一模一样 ！ 尤其 是 任务 让 明明白白 写 着 完成 奖励金 蘑菇 （ 图标 ， 文字 完全一致 ） ， 到 最后 到 账 的 竟然 是 赠送 金 蘑菇 ！ ！ ！ 实实在在 的 店大欺客 ！ ！ ！
21943,熟悉 的 球球 ， 不多 说 了 ， 我 技术 心态 开郎 ， 有时候 会 抠 脚 ， 希望 找到 一个 和 我 一样 的 ，
21944,我 想 找 个 小 女友 嘿嘿 ?
21945,想 问 一下 老早 的 那个 在 大冒险 里 的 商店 我 哪里 哦 ， 找 了 一 晚上
21946,我 只 想 知道 现在 那个 星际 商人 在 哪里 ， 能 用 宇宙 币 兑换 东西 的 那个
21947,找 啊 找 啊 找 朋友 找到 一个 好 朋友 ( ฅ & gt ; ω & lt ; * ฅ ) 处 队友
21948,版本 更新 星际 商人 去 哪里 了 ?
21949,我 .... 嘤 嘤 嘤 ？
21950,
21952,id 、 杀马 特星燃 有意 的 ➕
21953,三年 喽 .
21955,三年 了 累 了 再见 吧 球宝们
21956,ooyle = background - color : rgb255 255 255 ; > 年轻 的 时候 ， 连 多愁善感 都 要 渲染 的 惊天动地 。 长大 后 却 学会 ， 越痛 ， 越不动声 * 。 越苦 ， 越 保持沉默 。 找 有 心态 的 一起 ， 最要 的 是 开心 ， 只是 通过 游戏 认识 和 自己 相似 、 话 投机 的 人 ， 所以 没 必要 生气 ， * 子 勿扰
21957,曾经 刚 玩球 球 的 时候 是 和 一堆 朋友 ， 大球 来 了 就 跑 ， 见 了 小球 就 一直 追 到底 。 到 后来 学会 了 之后 就 说 朋友 坑 ， 直到 后来 球球 越 更新 越变 了 味道 ， 我 才 知道 是 我 过分 溺爱 这个 游戏 了 ， 所以 说 沉溺 游戏 的 球友 们 ， 适当 游戏 娱乐 人生 ， 别 把 游戏 当 朋友 。
21959,球球 我 回来 了
21960,
21961,
21962,球球 不 倒 ， 陪你到 老 !
21964,2019
21966,哈哈哈哈 哈哈哈哈 球球 最棒
21967,有 这些 就够 了 。
21968,
21969,现在 有没有 人 玩 一起 吗
21970,我 玩球 球 三年 了 ， 但 我 不会 放弃 我 决定 找出 我 以前 的 快乐 我 想 重新 开始 。 关注 我 小号 ks 军 抠 贼 秀
21971,我 想要 找回 当初 的 自己 选择 的 游戏 — 球球 大 作战 你 在 2017 年 给 我 带来 了 快乐 ， 可是 总会 有 一些 事情 … …
21972,2019 ， 阿飞 祝 大家 心想事成 ， 我心依旧 ， 也 祝球球 2019 ， 久久 辉煌 。
21974,球宝快 回家 ！
21975,2019 年 获得 的 第一个 成就
21976,2019 领海 量金 蘑菇
21977,祝 所有 球球 玩家 新年快乐 ， 祝球球 越来越 火 ?
21978,祝 各位 球宝 新年快乐 ， 球球 越来越 火 ！ ！
21979,祝贺 球宝们 新年快乐 ， 猪事 顺利 猪年 大吉 ，
21980,球球 不 倒 ， 陪你到 老 ， 我 感觉 是 我 已 先 老 ， 球球 还 不 倒
21981,祝 大家 猪年 猪猪 乐 快乐 GGbob ！
21982,我 补发 两张 ? ? ?
21984,
21985,2019 冲 鸭
21986,球球 大 作战 我 归来 了 ！
